"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,1.81024221785595e-34,9051,422,311,0.73696682464455,0.0343608441056237,"GO:0050896","GO:BP","response to stimulus",20972,12476,"GO:0008150"
"query_1",TRUE,4.35443338927171e-28,2118,422,128,0.303317535545024,0.0604343720491029,"GO:0006955","GO:BP","immune response",20972,2455,"GO:0002376;GO:0050896"
"query_1",TRUE,5.86221986583786e-26,761,422,73,0.172985781990521,0.0959264126149803,"GO:0002250","GO:BP","adaptive immune response",20972,759,"GO:0006955"
"query_1",TRUE,2.72606948557744e-25,2913,422,148,0.350710900473934,0.0508067284586337,"GO:0002376","GO:BP","immune system process",20972,867,"GO:0008150"
"query_1",TRUE,2.09180196388642e-21,7337,422,250,0.592417061611374,0.0340738721548317,"GO:0032501","GO:BP","multicellular organismal process",20972,7116,"GO:0008150"
"query_1",TRUE,4.51680906629325e-17,2923,422,132,0.312796208530806,0.0451590831337667,"GO:0051239","GO:BP","regulation of multicellular organismal process",20972,12691,"GO:0032501;GO:0050789"
"query_1",TRUE,9.45830138381353e-17,2427,422,117,0.277251184834123,0.0482076637824475,"GO:0009605","GO:BP","response to external stimulus",20972,3376,"GO:0050896"
"query_1",TRUE,1.54954946680995e-16,710,422,58,0.137440758293839,0.0816901408450704,"GO:0002252","GO:BP","immune effector process",20972,761,"GO:0002376"
"query_1",TRUE,1.90577601684572e-15,475,422,46,0.109004739336493,0.0968421052631579,"GO:0002443","GO:BP","leukocyte mediated immunity",20972,924,"GO:0002252"
"query_1",TRUE,2.84204318631839e-15,203,422,31,0.0734597156398104,0.152709359605911,"GO:0016064","GO:BP","immunoglobulin mediated immune response",20972,4852,"GO:0019724"
"query_1",TRUE,4.39902690181698e-15,206,422,31,0.0734597156398104,0.150485436893204,"GO:0019724","GO:BP","B cell mediated immunity",20972,5616,"GO:0002449;GO:0002460"
"query_1",TRUE,1.6532318769555e-14,377,422,40,0.0947867298578199,0.106100795755968,"GO:0002449","GO:BP","lymphocyte mediated immunity",20972,930,"GO:0002443"
"query_1",TRUE,6.06717310745777e-14,1512,422,83,0.196682464454976,0.0548941798941799,"GO:0007155","GO:BP","cell adhesion",20972,2585,"GO:0009987"
"query_1",TRUE,1.05058253301099e-13,2834,422,122,0.289099526066351,0.0430486944248412,"GO:0007166","GO:BP","cell surface receptor signaling pathway",20972,2596,"GO:0007165"
"query_1",TRUE,3.02276781484572e-13,389,422,39,0.0924170616113744,0.10025706940874,"GO:0002460","GO:BP","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",20972,941,"GO:0002250"
"query_1",TRUE,4.24611846882e-13,2014,422,97,0.229857819905213,0.048162859980139,"GO:0009888","GO:BP","tissue development",20972,3587,"GO:0048856"
"query_1",TRUE,1.24320827984888e-12,3993,422,150,0.355450236966825,0.0375657400450789,"GO:0048583","GO:BP","regulation of response to stimulus",20972,12005,"GO:0050789;GO:0050896"
"query_1",TRUE,1.47153999386572e-12,307,422,34,0.0805687203791469,0.110749185667752,"GO:0030198","GO:BP","extracellular matrix organization",20972,6272,"GO:0043062;GO:0045229"
"query_1",TRUE,1.6241262861528e-12,308,422,34,0.0805687203791469,0.11038961038961,"GO:0043062","GO:BP","extracellular structure organization",20972,9846,"GO:0016043"
"query_1",TRUE,1.79181407273342e-12,309,422,34,0.0805687203791469,0.110032362459547,"GO:0045229","GO:BP","external encapsulating structure organization",20972,10571,"GO:0016043"
