"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000149527.18",302.440735181748,1.22335668033045,0.582409493776766,0.00121207362490273,0.048618336198891
"ENSG00000142583.19",238.469067577156,3.88627973408928,0.593583100312164,3.38565881852056e-12,7.65937594513905e-09
"ENSG00000188257.13",50.4165060613548,3.46460587019959,0.786388121764206,6.04927067199059e-07,0.000210542539096067
"ENSG00000117215.15",468.646811040042,4.17466567967448,0.627428695834076,1.15439689554637e-12,3.26449012099318e-09
"ENSG00000162545.7",718.049042394082,-1.09109522294403,0.430271731797005,0.000483616966963429,0.0259878067544267
"ENSG00000188822.8",155.023952935342,1.47101113388142,0.672858258104851,0.00088461651640983,0.0401861033147381
"ENSG00000158246.8",451.065273367732,-1.22500019874542,0.49452063212199,0.000515540979357208,0.0270605187378147
"ENSG00000142748.15",1630.34019480795,-1.54711666039745,0.702569919508838,0.000809734163570472,0.0377122271135624
"ENSG00000182866.19",994.495593700819,1.43568687161837,0.533598807240905,0.000276685500199865,0.0179788971255715
"ENSG00000177181.16",497.590020286526,-1.23002810257399,0.403059304056348,0.000102733251954702,0.00863990468019045
"ENSG00000182183.15",124.981900425347,1.64760198494995,0.71346534870942,0.000630767320245966,0.0313623056833505
"ENSG00000116133.14",9962.20574707476,-1.16750022682022,0.448408178847086,0.000343842994253987,0.0205787303148358
"ENSG00000169174.14",353.953328996318,-2.0490676155431,0.655334793772309,6.24586204388648e-05,0.00619737443065104
"ENSG00000021852.15",169.001038945459,-3.40645184025273,0.854706090547719,2.5302683656976e-06,0.000572422612371767
"ENSG00000177606.9",13728.0386440241,-1.19661961236179,0.536038314245212,0.00090988388964545,0.0407609965058396
"ENSG00000162433.16",309.63504727443,1.5630036317825,0.509550289733934,8.75281224646484e-05,0.00782964427574766
"ENSG00000117069.16",1207.38298608531,-1.49248329858755,0.38924200089489,5.73814729502025e-06,0.00101417270511909
"ENSG00000097096.11",1457.76241790864,-1.39832150956312,0.384981943228083,1.28739295238644e-05,0.00191609807643673
"ENSG00000154451.16",5297.61414460413,2.18372810590593,0.654411619894654,3.48975277162308e-05,0.00398730691678934
"ENSG00000162692.13",2212.55158076466,1.64318939728718,0.339977084063666,6.7591269091393e-08,3.82279320163646e-05
"ENSG00000060718.23",173.725657368729,2.27944937964826,0.795965716169371,0.000129945921945348,0.0104618028191089
"ENSG00000116824.6",1260.17424966031,1.52348716942041,0.587872451906254,0.000343285103527081,0.0205787303148358
"ENSG00000143387.15",2666.88694009282,1.9631179452683,0.411736130502713,8.79762818674922e-08,4.73877958259113e-05
"ENSG00000143297.20",1034.71065090558,1.77017506516211,0.884322164473196,0.00118758485850125,0.047890788331326
"ENSG00000163568.18",661.68952951275,1.52038483017967,0.542795650501266,0.000195023519473849,0.0142302544446183
"ENSG00000179639.11",317.353358418223,-1.62393763897576,0.571449665897597,0.000163735750698241,0.0124371617929805
"ENSG00000158714.12",775.150125599413,1.81626841266336,0.692946076598751,0.000292251943394653,0.0186405571484462
"ENSG00000177807.12",186.823638988166,2.4506251540807,1.05794725058796,0.000538519045962798,0.0278785271780695
"ENSG00000066294.16",3729.9728134863,1.3562692641838,0.605203734203367,0.000935582538175285,0.0414021660855325
"ENSG00000117091.11",912.538426513696,1.35388092236186,0.57997944566618,0.000688717626698223,0.0335464644464417
"ENSG00000026751.18",2910.65350345144,3.05594568941365,0.641484125113594,8.12978273877649e-08,4.48585548534977e-05
"ENSG00000122224.20",589.156903504823,1.62360871517688,0.623352301095686,0.000315680157408981,0.0196739179092655
"ENSG00000158764.8",407.958432828882,-1.98252786706769,0.442489798324761,3.21506135968427e-07,0.000129882737750245
"ENSG00000143167.13",141.593478221192,-2.49159433944776,0.766881813397873,3.96526597656291e-05,0.00441938734667942
"ENSG00000094963.15",8135.90664520364,-1.02070210204779,0.456042234192696,0.00104146760592779,0.0436317067572306
"ENSG00000224000.2",128.168275065019,-1.55472382146104,0.634130648113097,0.00047580151757949,0.0258130880868125
"ENSG00000143851.18",855.530041648585,1.15058793857135,0.533858934045226,0.0011494412031367,0.0467799237289243
"ENSG00000133048.14",5005.81085815355,3.39835829457886,0.730052258461167,1.30918943733602e-07,6.3016580086921e-05
"ENSG00000133063.17",7853.10907523476,4.43202301301311,0.690419227401385,6.07282594262489e-12,1.24895946636366e-08
